"uploadID","uploadRA","uploadDEC","uploadSearchID","objID","survey","specObjID","distance_arcmin","fov_radius","IAUName","ra","dec","band","nuv_exptime","fuv_exptime","fuv_mag","fuv_magerr","nuv_mag","nuv_magerr","fuv_flux","fuv_fluxerr","nuv_flux","nuv_fluxerr","e_bv","spectra","fuv_fwhm_world","nuv_fwhm_world","ra_cent","dec_cent","minObsDate","meanObsDate","maxObsDate","minObsMJD","meanObsMJD","maxObsMJD","tilename","tilenum","img","subvis","photoextractid","nuv_flux_auto","nuv_flux_aper_7","nuv_artifact","fuv_flux_auto","fuv_flux_aper_7","fuv_artifact"
"3131-54731-429","357.8596116531","16.0799299042","4","3058403880349994919","GII","0","0.0099481893135866944","0.17959707975387573","GALEX J235126.2+160448","357.85947466823143","16.080030727915219","3","3665.3","3665.3","20.6569633","0.0466177464","19.91466","0.0239327848","19.8251514","0.8510164","39.27674","0.865563333","0.03754988","false","0.00109423138","0.0014896635","357.94455","16.23996","2004-10-12","2004-10-17","2004-10-22","53290.406967592593","53295.490300925929","53300.560983796291","GI1_055005_NGC7772","21389","1","-999","3058403880346845184","1.1644902229309082","1.212133526802063","0","0.18416815996170044","0.18787075579166412","0"
"3131-54731-429","357.8596116531","16.0799299042","4","6479732222268016887","GII","0","0.00494690838875478","0.32461118698120117","GALEX J235126.2+160447","357.85952601541442","16.079935058308379","3","1642.1","1642.1","20.800251","0.07902016","19.8765736","0.03234374","17.3740635","1.26418161","40.6789665","1.21151936","0.03754988","false","0.0018102855","0.0014294174","357.64440","16.33033","2004-10-12","2004-10-12","2004-10-12","53290.544560185182","53290.544560185182","53290.563564814816","GI1_055005_NGC7772_css7782","53093","1","-999","6479732222264868864","1.2060638666152954","1.1886181831359863","0","0.16139848530292511","0.17069056630134583","0"
"2951-54592-114","239.3048893329","4.0980711454","5","2430855419773586014","MIS","0","0.0076487029422338589","0.23652006685733795","GALEX J155713.1+040553","239.30495683415941","4.098179393210982","3","2176","2176","20.2168083","0.0503283776","19.3922977","0.0227700118","29.7357044","1.37803853","63.5449181","1.33233762","0.08941522","false","0.00127758109","0.00143852539","239.22511","4.32089","2003-07-01","2003-12-04","2004-05-09","52821.60396990741","52977.937303240746","53134.326875","MISDR1_22079_0595","3553","1","-999","2430855419770437632","1.8840014934539795","1.8814709186553955","0","0.27623346447944641","0.27611157298088074","0"
"2951-54592-114","239.3048893329","4.0980711454","5","6382808119427204041","AIS","0","0.008344819929922467","0.23900657892227173","GALEX J155713.1+040553","239.30490720761571","4.0982090782283214","3","108","108","20.2413425","0.220564276","19.4351349","0.101846829","29.07132","5.90432262","61.0865936","5.728799","0.08941522","false","0.00357057247","0.00201883842","239.22206","4.32248","2007-06-11","2007-06-11","2007-06-11","54262.7241550926","54262.7241550926","54262.725405092591","AIS_338","50338","1","43","6382808119424057344","1.8111162185668945","1.5641112327575684","0","0.27006158232688904","0.26762369275093079","0"
"2849-54454-349","17.9143011522","-8.8998191831","6","6380345263846851850","AIS","0","0.0085206588383968732","0.16202147305011749","GALEX J011139.4-085358","17.914218442769108","-8.8997030366503544","3","112","112","20.20072","0.20001334","18.0276165","0.04705238","30.1796551","5.558318","223.333023","9.676197","0.05546938","false","0.001278077","0.0013736788","17.78149","-8.80456","2003-10-21","2003-10-21","2003-10-21","52933.470671296294","52933.470671296294","52933.471967592588","AIS_268","50268","1","90","6380345263843704832","6.6214537620544434","6.7896890640258789","0","0.28035759925842285","0.26739722490310669","0"
"2849-54454-349","17.9143011522","-8.8998191831","6","2435746047493934974","MIS","0","0.021195083463138076","0.16723626852035523","GALEX J011139.4-085358","17.914171306533071","-8.8994900476206755","3","1647","1647","19.9764","0.0475309156","18.04647","0.0126373488","37.1058","1.62400794","219.488388","2.55409884","0.05546938","false","0.00107703265","0.001890235","17.79076","-8.78505","2003-10-13","2003-10-13","2003-10-13","52925.730775462966","52925.730775462966","52925.749837962969","MISDR1_29510_0659","3692","1","-999","2435746047490785280","6.5074667930603027","6.5316324234008789","0","0.34469887614250183","0.35046845674514771","0"
"1894-53240-211","355.222120429","14.0301138199","7","2472900744621069600","MIS","0","0.0099118840998297219","0.20686125755310059","GALEX J234053.3+140148","355.22221181046638","14.03025321367306","3","3415.1","1473.9","21.77228","0.146102071","20.10239","0.0261152051","7.097255","0.9548101","33.0402679","0.7945243","0.05355312","false","0.0019185011","0.00150677573","355.43371","14.05656","2004-08-29","2008-02-19","2011-08-12","53246.1622800926","54515.620613425926","55785.116898148146","MISDR2_28676_0747","4748","7","-999","2472900744617918464","0.97958922386169434","0.99546289443969727","0","0.0659308210015297","0.079891428351402283","0"
"1894-53240-211","355.222120429","14.0301138199","7","6376052714617441564","AIS","0","0.013124104048860318","0.2196221649646759","GALEX J234053.3+140149","355.22224484753588","14.030296233925411","3","811","486","21.95121","0.229347333","19.9058723","0.04388641","6.01891327","1.27110648","39.59597","1.600115","0.05355312","false","0.00347785116","0.00144946424","355.44769","14.05033","2003-10-19","2005-09-29","2007-09-09","52931.49296296297","53642.034629629634","54352.561157407414","AIS_146","50146","1","38","6376052714614292480","1.1739548444747925","1.2484605312347412","0","0.055913429707288742","0.037159167230129242","0"
"2299-53711-626","95.2296770449","64.3395320828","8","6374258307343846502","AIS","0","0.0035062227295957326","0.4207453727722168","GALEX J062055.1+642022","95.2295799767866","64.339572678667025","1","210.05","210.05","-999","-999","21.2899513","0.196699336","-999","-999","11.0667267","2.00443625","0.0903165862","false","-99","0.00211215275","96.08346","64.14128","2006-12-21","2007-01-17","2007-02-13","54090.441076388888","54117.399409722224","54144.333958333336","AIS_95","50095","1","34","6374258307342794752","0.32811009883880615","0.20035244524478912","0","-99","-99","0"
"2299-53711-626","95.2296770449","64.3395320828","8","6374258296606425269","AIS","0","0.00979208150652602","0.59337854385375977","GALEX J062055.0+642021","95.229460002887834","64.339398662292936","1","209","209","-999","-999","20.9475651","0.191987157","-999","-999","15.169591","2.68173718","0.0903165862","false","-99","0.00482551474","94.51548","64.84760","2006-12-21","2007-01-17","2007-02-13","54090.439456018517","54117.356122685182","54144.332395833335","AIS_95","50095","1","24","6374258296605376512","0.44975322484970093","0.42673709988594055","33","-99","-99","32"
"2299-53711-626","95.2296770449","64.3395320828","8","6405176537809682724","MIS","0","0.0089960157593189614","0.58390086889266968","GALEX J062055.1+642022","95.229599100433347","64.33967816782237","1","619","616","-999","-999","21.09367","0.113356687","-999","-999","13.259635","1.38404083","0.0903165862","false","-99","0.00231327023","94.51501","64.83659","2008-10-24","2008-11-15","2008-12-06","54763.597025462965","54785.263692129629","54806.941932870373","MISMWS_02835_0096","50974","1","-999","6405176537808633856","0.39312618970870972","0.37191522121429443","1","-99","-99","0"
"2299-53711-453","92.3977488861","64.8997460799","9","6405282090925953352","MIS","0","0.0076761347033602765","0.3189290463924408","GALEX J060935.4+645359","92.397625573193793","64.899862832687049","1","621","621","-999","-999","20.32204","0.07007908","-999","-999","26.9887714","1.7415731","0.09163764","false","-99","0.00183171208","92.07408","64.61233","2008-10-24","2008-11-15","2008-12-06","54763.605462962958","54785.272129629629","54806.95040509259","MISMWS_02836_0096","50977","1","-999","6405282090924900352","0.80017232894897461","0.79221183061599731","0","-99","-99","0"
"2299-53711-453","92.3977488861","64.8997460799","9","6374258297682267339","AIS","0","0.01663841815165782","0.3526032567024231","GALEX J060935.4+645400","92.397754594373254","64.900023376296858","3","109","109","21.75013","0.4410276","20.30692","0.1556778","7.24352264","2.94161463","27.3673077","3.9230957","0.09163764","false","0.00123724807","0.00205196044","92.04722","64.58072","2007-02-05","2007-02-05","2007-02-05","54136.323425925933","54136.323425925933","54136.324687500004","AIS_95","50095","1","25","6374258297679118336","0.81139528751373291","0.74692791700363159","0","0.067289590835571289","0.040532071143388748","0"
"2299-53711-453","92.3977488861","64.8997460799","9","3792349882120935785","MIS","0","0.0026979024568527009","0.32005810737609863","GALEX J060935.4+645359","92.397657212378846","64.899723506615459","1","3007.15","0","-999","-999","20.26945","0.0319747478","-999","-999","28.3282585","0.8340597","0.09163764","false","-99","0.00152543141","92.11975","64.60243","2009-10-17","2009-10-17","2009-10-17","55121.076261574075","55121.117928240739","55121.160011574073","MISGCSN1_02836_0096","42249","1","-999","3792349882119880704","0.8398858904838562","0.87280130386352539","0","-99","-99","-999"
"2848-54453-473","7.4726850644","-17.7245051168","10","3790907322865293266","MIS","0","0.0047008254951672358","0.23528236150741577","GALEX J002953.4-174328","7.4726372980806151","-17.724568898584469","1","2765.3","0","-999","-999","17.3009167","0.00700894929","-999","-999","436.147064","2.814855","0.01928378","false","-99","0.0014347001","7.23815","-17.65075","2009-09-17","2009-09-18","2009-09-19","55091.994421296295","55092.70275462963","55093.435289351852","MISGCSS1_29957_0276","42208","1","-999","3790907322864238592","12.931036949157715","12.859785079956055","0","-99","-99","-999"
"2848-54453-473","7.4726850644","-17.7245051168","10","6380591462109677873","AIS","0","0.0062080582819320582","0.24053166806697846","GALEX J002953.4-174328","7.4727798744868794","-17.724454621954809","3","266","266","19.64776","0.09551647","17.3355827","0.0215750653","50.22243","4.41719151","422.441284","8.392447","0.01928378","false","0.00155465154","0.00138152344","7.23234","-17.65111","2003-10-20","2005-05-08","2006-11-25","52932.94158564815","53498.858252314814","54064.82504629629","AIS_275","50275","1","4","6380591462106529792","12.524683952331543","12.84995174407959","0","0.466547429561615","0.45968440175056458","0"
"1254-52972-515","64.5457655062","26.2351635734","11","6376861936921870798","AIS","0","0.0067121976241379883","0.41454657912254333","GALEX J041810.9+261406","64.545722235263071","26.23505865247461","3","223","223","21.6137352","0.396613","20.0737019","0.110913843","8.213121","2.999476","33.92494","3.46477437","0.323269546","false","0.00220173062","0.00237711682","64.59930","26.64682","2005-12-23","2006-06-22","2006-12-19","53727.710497685184","53908.252164351856","54088.804074074069","AIS_169","50169","1","21","6376861936918724608","1.0058181285858154","0.959455132484436","0","0.076296798884868622","0.10329035669565201","0"
"1254-52972-515","64.5457655062","26.2351635734","11","6376861937993518447","AIS","0","0.0061090470992284443","0.53611117601394653","GALEX J041811.0+261406","64.545853052229177","26.235228382363712","1","207","207","-999","-999","20.0285759","0.116287589","-999","-999","35.3646164","3.78680086","0.323269546","false","-99","0.00268680067","64.13075","25.85010","2005-12-23","2006-06-22","2006-12-19","53727.712199074078","53908.253865740735","54088.8059837963","AIS_169","50169","1","22","6376861937992466432","1.0485022068023682","1.0882266759872437","1","-99","-99","0"
"1254-52972-515","64.5457655062","26.2351635734","11","3791716563423335899","MIS","0","0.013538684820491987","0.5350080132484436","GALEX J041810.9+261407","64.545677220967235","26.235374865595709","1","2500.15","0","-999","-999","19.9166241","0.03469687","-999","-999","39.2057724","1.25259447","0.323269546","false","-99","0.00222006231","64.12910","25.85307","2009-11-11","2009-11-11","2009-11-11","55146.75649305556","55146.798159722224","55146.841238425921","MISGCSS1_18553_0170","42231","1","-999","3791716563422281728","1.1623861789703369","1.159605860710144","1","-99","-99","-999"
"1254-52972-515","64.5457655062","26.2351635734","11","3791857300911686295","MIS","0","0.015203606757346172","0.41583400964736938","GALEX J041810.9+261407","64.545641892829991","26.235391419781148","1","1334.05","0","-999","-999","19.8530979","0.04260562","-999","-999","41.56814","1.63078856","0.323269546","false","-99","0.00154290663","64.59875","26.64850","2009-11-12","2009-11-12","2009-11-12","55147.784525462957","55147.784525462957","55147.799965277773","MISGCSS1_18552_0170","42235","1","-999","3791857300910637056","1.2324264049530029","1.2652337551116943","0","-99","-99","-999"
"1254-52972-515","64.5457655062","26.2351635734","11","6467347323290649017","MIS","0","0.008871868915106643","0.45747077465057373","GALEX J041810.9+261406","64.545623171849144","26.235238163957391","1","1040.1","0","-999","-999","19.9193935","0.0502148122","-999","-999","39.1058846","1.80819035","0.323269546","false","-99","0.001764184","64.56197","26.69247","2009-11-12","2009-11-12","2009-11-12","55147.8563425926","55147.8563425926","55147.868379629632","MISGCSS1_18552_0170_css34905","52741","1","-999","6467347323289600000","1.1594246625900269","1.1917999982833862","1","-99","-99","-999"
"1252-52970-306","63.8444565704","31.2552500395","12","3791822116539600159","MIS","0","0.023645612867244821","0.60118228197097778","GALEX J041522.5+311518","63.84409443302404","31.25500617327236","1","1667.15","0","-999","-999","18.9913235","0.0464835167","-999","-999","91.9326859","3.934949","0.260461777","false","-99","0.007078226","64.54731","31.26263","2009-11-25","2009-11-25","2009-11-25","55160.514444444438","55160.514444444438","55160.533738425918","MISGCSS1_06846_0191","42234","1","-999","3791822116538548224","2.725651741027832","2.7107405662536621","169","-99","-99","-999"
"1252-52970-306","63.8444565704","31.2552500395","12","6377600853832894332","AIS","0","0.015866015706422223","0.59902524948120117","GALEX J041522.6+311519","63.844264813413787","31.255457532593049","3","192","192","18.9484749","0.185836554","18.8630352","0.0968802","95.63391","16.3648968","103.463158","9.229771","0.260461777","false","0.00420840643","0.0047354605","64.54492","31.26632","2005-12-23","2006-06-21","2006-12-19","53727.48846064815","53907.98846064815","54088.513622685183","AIS_190","50190","1","63","6377600853829746688","3.0675110816955566","2.918004035949707","33","0.88840293884277344","0.85310781002044678","288"
"1252-52970-306","63.8444565704","31.2552500395","12","6377636008140211047","AIS","0","0.013112894721431512","0.43788298964500427","GALEX J041522.7+311519","63.84469324211728","31.255332677838322","3","220","220","19.0998325","0.106923737","18.8501682","0.05973543","83.1896","8.190556","104.696609","5.75883675","0.260461777","false","0.00310552469","0.00178046862","63.44036","31.52479","2005-12-23","2006-06-21","2006-12-19","53727.489861111113","53907.989861111106","54088.5152662037","AIS_191","50191","1","35","6377636008137064448","3.10408091545105","3.0663738250732422","0","0.77279996871948242","0.81632661819458008","0"
"2335-53730-480","47.9230588848","5.9308507417","13","6377249024070648707","AIS","0","0.015759377058322758","0.27893245220184326","GALEX J031141.5+055551","47.9231607034231","5.9310930885214548","3","71.15","71.15","21.46698","0.486268163","19.8877182","0.160449028","9.401779","4.209748","40.2635574","5.94866371","0.25211224","false","0.0021875333","0.00197871565","47.70452","6.10581","2003-11-29","2003-11-29","2003-11-29","52972.460185185191","52972.460185185191","52972.461006944446","AIS_180","50180","1","76","6377249024067502080","1.1937477588653565","1.2099274396896362","0","0.087338976562023163","0.07288949191570282","0"
"2335-53730-480","47.9230588848","5.9308507417","13","3780668670589536094","MIS","0","0.014651532005491826","0.27579939365386963","GALEX J031141.4+055551","47.9228530710114","5.9309838686424854","3","1553.1","1553.1","21.5845757","0.137112349","19.763485","0.03348672","8.436675","1.065168","45.1446037","1.39203012","0.25211224","false","0.00129105849","0.00140795216","47.70473","6.10131","2008-11-02","2008-11-02","2008-11-02","54772.770810185182","54772.770810185182","54772.788784722223","MISGCSS_18398_2335","41917","1","-999","3780668670586388480","1.3384627103805542","1.332858681678772","0","0.078373529016971588","0.06895013153553009","0"
"3241-54884-335","36.2842722746","24.3556375996","14","6377178633851636186","AIS","0","0.016649289454584982","0.37321570515632629","GALEX J022508.2+242121","36.284365466059661","24.355901781487081","3","101.05","101.05","20.3033047","0.220194519","19.8166924","0.1279482","27.4586926","5.56745243","42.9855728","5.064389","0.107183948","false","0.00413932744","0.0031555607","36.52022","24.05092","2003-11-27","2003-11-27","2003-11-27","52970.610532407409","52970.610532407409","52970.611701388894","AIS_178","50178","1","56","6377178633848487936","1.2744510173797607","1.2371460199356079","0","0.25508087873458862","0.2453698068857193","0"
"685-52203-430","359.9531523893","1.2156507032","15","6381013757252863828","AIS","0","0.0043907617025509636","0.047236744314432144","GALEX J235948.7+011256","359.95313711535488","1.2155791348370231","3","106.1","106.1","19.97423","0.18249853","18.91128","0.07623666","37.1800232","6.247974","98.96635","6.947388","0.0262415241","false","0.0036930053","0.0017840683","359.99958","1.22425","2003-10-20","2003-10-20","2003-10-20","52932.513495370367","52932.513495370367","52932.514722222222","AIS_287","50287","1","81","6381013757249716224","2.9341881275177","2.9629001617431641","0","0.34538838267326355","0.343075156211853","0"
"685-52203-430","359.9531523893","1.2156507032","15","3132713274201610874","GII","0","0.017919332488165834","0.049446616321802139","GALEX J235948.6+011255","359.9528771477689","1.2155346371530209","3","3909.25","3909.25","19.8818436","0.0274641067","18.71894","0.0126975076","40.4822655","1.02376544","118.147232","1.381377","0.0262415241","false","0.00134995882","0.00169972086","359.99725","1.23737","2007-09-30","2007-10-02","2007-10-03","54373.79011574074","54375.16511574074","54376.539837962962","GI3_095001_S82_29040","23501","1","-999","3132713274198458368","3.5028696060180664","3.5127301216125488","392","0.3760649561882019","0.38839587569236755","256"
"3130-54740-107","356.2258457245","14.3323763097","16","3782040861100998994","MIS","0","0.025236269362579614","0.58842933177948","GALEX J234454.1+141957","356.22555466851031","14.332688376754479","3","1685.05","1685.05","21.83535","0.212319016","19.4682522","0.0324860848","6.6967144","1.30924475","59.2514267","1.77241886","0.036296837","false","0.0024901873","0.00252593379","355.99799","14.87836","2008-09-13","2008-09-13","2008-09-13","54722.788599537031","54722.788599537031","54722.80810185185","MISGCSS_28661_0748","41956","1","-999","3782040861097852928","1.7567065954208374","1.7555501461029053","25","0.062209948897361755","0.064208351075649261","256"
"3130-54740-107","356.2258457245","14.3323763097","16","2472865560047656537","MIS","0","0.0086623007659659638","0.41226920485496521","GALEX J234454.2+141957","356.225821759395","14.332518801981241","3","2349","1621.85","23.4386826","0.345015347","19.9079723","0.0274323877","1.5294286","0.4858898","39.5194626","0.998262644","0.036296837","false","0.00152245781","0.001379305","356.59706","14.13133","2004-08-29","2005-09-11","2006-09-25","53246.230486111112","53624.688819444447","54003.129108796296","MISDR2_28675_0748","4747","1","-999","2472865560044503040","1.1716865301132202","1.1500793695449829","0","0.014207813888788223","0.011708877980709076","256"
"3130-54740-107","356.2258457245","14.3323763097","16","6376052703880020242","AIS","0","0.031976125482816163","0.568203330039978","GALEX J234454.1+141958","356.22571016682662","14.33289280789444","3","408","191","20.8551922","0.2209135","19.3856754","0.053816054","16.51676","3.35982966","63.9336777","3.16819358","0.036296837","false","0.00160402083","0.00233604386","356.01032","14.86149","2004-08-16","2005-02-16","2005-08-18","53233.915034722224","53417.206701388895","53600.533842592595","AIS_146","50146","1","28","6376052703876874240","1.8955276012420654","1.9150184392929077","409","0.15343445539474487","0.14506822824478149","0"
"3130-54740-107","356.2258457245","14.3323763097","16","6376052713543699789","AIS","0","0.015107173800470908","0.41336503624916077","GALEX J234454.1+141957","356.225628222821","14.33251410770669","3","224","112","20.17973","0.177834615","19.6590614","0.0707715452","30.7687874","5.038449","49.7020874","3.23894453","0.036296837","false","0.00286332029","0.00185209711","356.59880","14.13244","2003-10-19","2004-09-15","2005-08-13","52931.4946875","53263.661354166667","53595.806701388887","AIS_146","50146","1","37","6376052713540550656","1.4735845327377319","1.5490245819091797","0","0.28583040833473206","0.28319057822227478","0"
"2252-53565-281","339.9491245155","22.3952983767","17","6376087888252111959","AIS","0","0.010187936304410918","0.35943469405174255","GALEX J223947.7+222343","339.94913704256533","22.39546778015734","3","369.55","112","21.6496124","0.439148217","19.41834","0.05400252","7.94616032","3.21320629","62.0388145","3.08494687","0.0428174362","false","0.003116657","0.0016159378","339.56044","22.38960","2003-09-08","2004-09-14","2005-09-22","52890.453368055547","53262.828368055554","53635.244479166671","AIS_147","50147","1","28","6376087888248963072","1.8393479585647583","1.8946806192398071","0","0.073816828429698944","0.070545770227909088","0"
"2252-53565-281","339.9491245155","22.3952983767","17","3884532936993673910","MIS","0","0.007057988653878129","0.63976073265075684","GALEX J223947.7+222343","339.94910950340108","22.395415188114949","1","1094.5","0","-999","-999","19.40706","0.0393244065","-999","-999","62.68664","2.26990318","0.0428174362","false","-99","0.00182107824","340.63298","22.29938","2009-09-04","2009-09-04","2009-09-04","55078.352789351855","55078.352789351855","55078.365451388891","MISGCSS2_20479_0148","44869","1","-999","3884532936992620544","1.8585549592971802","1.8940520286560059","33","-99","-99","-999"
"2252-53565-281","339.9491245155","22.3952983767","17","6471147235476245397","MIS","0","0.0069953950672565525","0.48503446578979492","GALEX J223947.8+222343","339.94925043217859","22.395292078993251","1","299.1","0","-999","-999","19.5107365","0.05225737","-999","-999","56.9776649","2.74171543","0.0428174362","false","-99","0.00185081933","340.46953","22.33398","2009-09-04","2009-09-04","2009-09-04","55078.147696759261","55078.147696759261","55078.15115740741","MISGCSS2_20479_0148_css33887","52849","1","-999","6471147235475193856","1.6892932653427124","1.6717445850372315","1","-99","-99","-999"
